#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
192-168-0-110 node-2 24 44 15 500 522 11.97235003037333333333 .00624120870932583298 .002 .38086710931000000000 .05361519925490483953 .00047169811320754716 4.55987434771578216677 .00569847617511247650 -7762 OK|491+/-3
192-168-0-110 node-2 24 44 15 500 822 11.97237901676000000000 .00618118884567989719 .002 .39670006517000000000 .04550766313427259110 .00047169811320754716 4.74944353618863252224 .00570280894783878324 -7121 OK|490+/-1
192-168-0-110 node-2 24 44 15 500 1147 11.97236716162000000000 .00711908130794939930 .002 .39616168825000000000 .06999219639313370183 .00047169811320754716 4.74299318709623980496 .00570265370693563769 -8787 OK|491+/-7
192-168-0-110 node-2 24 44 15 500 247 11.97228541683333333333 .00798370334053356030 .002 .37967376838000000000 .06884706263782712531 .00047169811320754716 4.54556272033003075306 .00569812742408538280 -8280 OK|490+/-2
192-168-0-110 node-2 24 44 15 500 572 11.97230246326666666666 .00797940084269761134 .002 .38530271603333333333 .07316858435245473163 .00047169811320754716 4.61296065626921364766 .00569964656876924255 -8453 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 497 11.97230969384666666666 .00803400877223361264 .002 .38416190294000000000 .07268777795861947993 .00047169811320754716 4.59930527457514427523 .00569934191549069987 -8457 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 772 11.97231685875333333333 .00802093106616806238 .002 .38802267541333333333 .07492550623464111910 .00047169811320754716 4.64553041842962320007 .00570039133373314730 -8490 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 622 11.97231402520666666666 .00807258902904700457 .002 .38657376502666666666 .07405605163727981616 .00047169811320754716 4.62818250880570774368 .00569999622615816123 -8465 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1472 11.97237472948666666666 .00785801384318970642 .002 .39782118513333333333 .07746599926664773172 .00047169811320754716 4.76286430374475680558 .00570311932795047696 -8769 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 447 11.97230471018000000000 .00794279246105410713 .002 .38262028695666666666 .07246164158709347229 .00047169811320754716 4.58084666374172355080 .00569892475680210047 -8337 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 397 11.97229295720000000000 .00787688555818362832 .002 .38252135824666666666 .07200726247130536040 .00047169811320754716 4.57965776331514547362 .00569889269858668597 -8427 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 947 11.97233729456666666666 .00774454526544769896 .002 .39058432803666666666 .07578669771728238397 .00047169811320754716 4.67620731722664525191 .00570110062317300096 -8610 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 72 11.97225941415333333333 .00787504964672647698 .002 .37752068848000000000 .06912700307932236968 .00047169811320754716 4.51977561669232785628 .00569754301497902251 -8219 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 197 11.97228310690666666666 .00781193279586072220 .002 .37954332120333333333 .07008848315708922010 .00047169811320754716 4.54400009278191853540 .00569809158260386158 -8346 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 372 11.97229154442666666666 .00769040767548641207 .002 .38208889583333333333 .07148534312275783264 .00047169811320754716 4.57447965680473809551 .00569877599160219843 -8383 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1322 11.97233447719333333333 .00737070477802289948 .002 .39526709280666666666 .07611686471093602742 .00047169811320754716 4.73226984290923233330 .00570239012475517234 -8602 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1172 11.97236782363333333333 .00628383806789271663 .002 .39850728760000000000 .05560752818052774587 .00047169811320754716 4.77107582754563484361 .00570330770065549856 -8566 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 997 11.97234876228666666666 .00623189958006173427 .002 .39790949188666666666 .05345874795223443661 .00047169811320754716 4.76391121269145009856 .00570313184114564723 -8530 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 172 11.97229862485333333333 .00599423735098216727 .002 .38576183212666666666 .04552139491420960751 .00047169811320754716 4.61845585229099375704 .00569976899459294841 -8339 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 122 11.97231448963333333333 .00579093839722178360 .002 .38788757510000000000 .03934859036967406943 .00047169811320754716 4.64391203571846775479 .00570035344807357011 -8290 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 347 11.97232177517333333333 .00610626520327622766 .002 .38912831152666666666 .04232323021609815889 .00047169811320754716 4.65876935742714373375 .00570069509231152442 -8271 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1122 11.97238197475333333333 .00595273967106865593 .002 .40080189408333333333 .04632653504963738025 .00047169811320754716 4.79855337217029468066 .00570395744384504765 -8585 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 597 11.97232011665333333333 .00584854442858777554 .002 .39413332482333333333 .04220231459477082970 .00047169811320754716 4.71869033342585625168 .00570206950493330535 -8555 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1097 11.97235883069333333333 .00662362380182954004 .002 .39553144752000000000 .06764756938263904667 .00047169811320754716 4.73544441853298873854 .00570247482130997488 -8667 ERR|0+/-0
